times in msec,,,,
 clock, self+sourced, self:,sourced script,
 clock, elapsed:,,          other lines,
,,,,
0.029,0.029,--- NVIM STARTING ---,,
0.996,0.968,locale set,,
2.004,1.008,inits 1,,
2.027,0.023,window checked,,
2.552,0.525,parsing arguments,,
2.873,0.321,expanding arguments,,
3.037,0.164,inits 2,,
3.801,0.763,init highlight,,
4.371,0.03,0.03,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/macros/matchit.vim
5.02,0.28,0.28,sourcing,Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein.vim
6.528,0.126,0.126,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftoff.vim
8.788,0.661,0.661,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
9.127,1.361,0.7,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/synload.vim
19.855,0.305,0.305,sourcing,Users/fill/.cache/dein/.cache/init.vim/.dein/ftdetect/ftdetect.vim
20.027,10.585,10.281,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
20.118,12.582,0.636,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syntax.vim
21.032,0.293,0.293,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
24.366,0.764,0.764,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
26.013,0.526,0.526,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
32.229,10.754,9.464,sourcing,Users/fill/.cache/dein/.cache/init.vim/.dein/colors/solarized.vim
32.866,27.503,3.748,sourcing,Users/fill/.cache/dein/state_nvim.vim
33.197,0.075,0.075,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
33.511,0.098,0.098,sourcing,Users/fill/.cache/dein/.cache/init.vim/.dein/ftplugin.vim
33.657,0.04,0.04,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin.vim
33.956,0.08,0.08,sourcing,usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent.vim
