

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
000.951  000.938: locale set
002.604  001.653: inits 1
002.630  000.026: window checked
005.486  002.856: parsing arguments
005.917  000.431: expanding arguments
006.101  000.184: inits 2
006.887  000.787: init highlight
008.530  000.858  000.858: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/macros/matchit.vim
010.594  000.700  000.700: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein.vim
011.985  000.831  000.831: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/autoload.vim
013.597  001.298  001.298: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/util.vim
014.736  000.741  000.741: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftoff.vim
016.698  000.753  000.753: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/types/git.vim
017.045  001.794  001.041: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/parse.vim
018.824  000.775  000.775: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/toml.vim
061.773  001.395  001.395: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
062.252  002.535  001.140: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/synload.vim
077.231  000.811  000.811: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ftdetect/ftdetect.vim
077.472  014.865  014.054: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
077.596  019.658  002.258: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syntax.vim
078.690  000.355  000.355: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
081.846  000.271  000.271: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
082.637  000.261  000.261: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
086.306  007.083  006.551: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/colors/solarized.vim
