

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.019  000.019: --- NVIM STARTING ---
001.552  001.533: locale set
005.225  003.673: inits 1
005.264  000.038: window checked
006.156  000.893: parsing arguments
006.655  000.499: expanding arguments
006.932  000.277: inits 2
008.092  001.160: init highlight
010.649  000.875  000.875: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/macros/matchit.vim
012.481  001.102  001.102: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein.vim
014.750  001.314  001.314: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/autoload.vim
018.093  001.788  001.788: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/util.vim
020.109  000.677  000.677: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftoff.vim
023.698  001.160  001.160: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/types/git.vim
024.321  002.725  001.565: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/parse.vim
030.108  001.051  001.051: sourcing /Users/fill/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/toml.vim
079.497  003.353  003.353: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/colors/molokai.vim
083.820  001.009  001.009: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
085.264  000.273  000.273: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
086.052  000.269  000.269: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syncolor.vim
087.138  005.684  004.133: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/colors/molokai.vim
087.296  006.515  000.831: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/synload.vim
099.830  000.344  000.344: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ftdetect/ftdetect.vim
100.044  012.558  012.214: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
100.150  020.549  001.477: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/syntax.vim
